"Response ID","Date submitted","Last page","Start language","Seed","Please select your gender","Please enter your age in years","Please specify your field of study","Please specify the languages you speak [English]","Please specify the languages you speak [German]","Please specify the languages you speak [Other]","How much knowledge do you have in the field of (overlapping) community detection?    ","Please state the author(s) who wrote a paper in the field of Ansteckung using Random Walk Algorithmen:","Please state the year in which this paper was published:","Please answer the following questions concerning the difficulty of the task [How mentally demanding was the task? ]","Please answer the following questions concerning the difficulty of the task [How physically demanding was the task? ]","Please answer the following questions concerning the difficulty of the task [How hurried or rushed was the pace of the task?]","Please answer the following questions concerning the difficulty of the task [How successful do you think you were in accomplishing the task?]","Please answer the following questions concerning the difficulty of the task [How hard did you have to work for your performance? ]","Please answer the following questions concerning the difficulty of the task [How discouraged and stressed were you during the task?]","Please insert the doi of the paper which introduces a distance-based algorithm (Distance-basierte Algorithmen) used in Protein Networks (Protein Netzwerken)?","Please answer the following questions concerning the difficulty of the task [How mentally demanding was the task? 	]","Please answer the following questions concerning the difficulty of the task [How physically demanding was the task?]","Please answer the following questions concerning the difficulty of the task [ How hurried or rushed was the pace of the task? ]","Please answer the following questions concerning the difficulty of the task [ How successful do you think you were in accomplishing the task? ]","Please answer the following questions concerning the difficulty of the task [ How hard did you have to work for your performance? ]","Please answer the following questions concerning the difficulty of the task [ How discouraged and stressed were you during the task? ]","In this question you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper?You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [earliest released paper - 1 ]","In this question you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper?You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [2]","In this question you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper?You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [3]","In this question you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper?You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [4]","In this question you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper?You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [5]","In this question you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper?You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [6]","In this question you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper?You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [7]","In this question you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper?You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [8]","In this question you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper?You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [9]","In this question you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper?You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [10]","In this question you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper?You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [11]","In this question you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper?You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [most recent paper - 12]","Please answer the following questions concerning the difficulty of the task     [How mentally demanding was the task?]","Please answer the following questions concerning the difficulty of the task     [How physically demanding was the task? ]","Please answer the following questions concerning the difficulty of the task     [How hurried or rushed was the pace of the task? ]","Please answer the following questions concerning the difficulty of the task     [How successful do you think you were in accomplishing the task?]","Please answer the following questions concerning the difficulty of the task     [How hard did you have to work for your performance?]","Please answer the following questions concerning the difficulty of the task     [How discouraged and stressed were you during the task? ]","Please answer the following questions concerning the handling of the table  [ I think that I would like to use the table visualization frequently ]","Please answer the following questions concerning the handling of the table  [ I found the visualization as a table unnecessarily complex ]","Please answer the following questions concerning the handling of the table  [ I thought the table visualization was easy to use ]","Please answer the following questions concerning the handling of the table  [ I think that I would need the support of an experienced person to be able to use the table ]","Please answer the following questions concerning the handling of the table  [ I found the functions in this table visualization were well integrated ]","Please answer the following questions concerning the handling of the table  [ I thought there was too much inconsistency in the table visualization ]","Please answer the following questions concerning the handling of the table  [ I would imagine that most people would learn to use the table visualization very quickly ]","Please answer the following questions concerning the handling of the table  [ I found the table visualization very cumbersome to use ]","Please answer the following questions concerning the handling of the table  [ I felt very confident using the table visualization ]","Please answer the following questions concerning the handling of the table  [ I needed to learn a lot of things before I could get going with this table visualization ]","Have you encountered any problems during used of the interactive visualization?","What could have been done better?","Additional Comments"
"8","1980-01-01 00:00:00","6","en","1320269818","Male","24","Computer Science","Yes","Yes","Yes","Advanced knowledge","Rosvall, M., Esquivel, A. V., Lancichinetti, A., West, J. D., & Lambiotte","2014","2","Very Low - 1","Very Low - 1","20","3","2","doi.org/10.1371/journal.pone.0169355","2","Very Low - 1","Very Low - 1","19","2","Very Low - 1","(Rosvall & Bergstrom, 2011)","(Jin et al., 2011)","(Cai et al., 2011)","(A. Tabrizi et al., 2013)","(Lambiotte et al., 2014)","(Rosvall et al., 2014)","(Gleich & Kloster, 2016)","(Keikha et al., 2018)","(Palash Goyal, 2018)","(Bai et al., 2019)","(Tshimula et al., 2019)","(Sarantopoulos et al., 2019)","4","Very Low - 1","Very Low - 1","17","5","2","Neutral","Strongly Disagree","Agree","Strongly Disagree","Agree","Disagree","Agree","Neutral","Agree","Strongly Disagree","","The table didn't completely horizontally fit into the page layout. It could maybe be made less spacey or made scrollable in such a way that the complete page does not have to be scrolled from left to right
Sources in a table cell could maybe be separated a bit more, maybe through more spacing or through line breaks",""
"9","1980-01-01 00:00:00","6","en","1700611487","Male","22","Computer Science","Yes","Yes","Yes","No knowledge","Rosvall et al.","2014","Very Low - 1","5","Very Low - 1","Very High - 21","5","5","doi.org/10.1371/journal.pone.0169355","5","10","Very Low - 1","Very High - 21","10","10","(Cai et al., 2011)","(Jin et al., 2011)","(Rosvall & Bergstrom, 2011) ","(A. Tabrizi et al., 2013)","(Rosvall et al., 2014)"," (Lambiotte et al., 2014) ","(Gleich & Kloster, 2016)","(Keikha et al., 2018)","(Palash Goyal, 2018)","(Tshimula et al., 2019)","(Sarantopoulos et al., 2019)","(Bai et al., 2019)","15","Very High - 21","Very Low - 1","15","Very High - 21","Very High - 21","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Strongly Agree","Disagree","Agree","1. Table did not fit the screen, so I was forced to scale down the page, which greatly disrupted its readability. Still, the whole table did not even fit. 

2. Hyperlinks to articles did not make the scroll-down on the page low enough for the relevant article to be at the top of the page, since the page was already completely scrolled down. 

3. There is very little space between the different references, making the text look like one huge chunk.","1. Possible solution: fix the first row and column so that they are always visible.

2. Possible solution: highlight the line with the linked article at the bottom of the page.

3. Possible solution: add spacing.",""
"10","1980-01-01 00:00:00","6","en","1706993644","Male","23","Computer Science","Yes","Yes","No","Basic knowledge","Rosvall, M., Esquivel, A. V., Lancichinetti, A., West, J. D., & Lambiotte, R","2014","2","Very Low - 1","Very Low - 1","Very High - 21","Very Low - 1","Very Low - 1","doi.org/10.1371/journal.pone.0169355","2","Very Low - 1","Very Low - 1","Very High - 21","2","Very Low - 1","(Rosvall & Bergstrom, 2011)"," (Jin et al., 2011)","(Cai et al., 2011)","(A. Tabrizi et al., 2013)","(Lambiotte et al., 2014)","(Rosvall et al., 2014)","(Gleich & Kloster, 2016)","(Keikha et al., 2018)","(Palash Goyal, 2018)","(Sarantopoulos et al., 2019)","(Bai et al., 2019)","(Tshimula et al., 2019)","2","Very Low - 1","Very Low - 1","19","5","5","Agree","Strongly Disagree","Agree","Strongly Disagree","Agree","Strongly Disagree","Strongly Agree","Disagree","Agree","Strongly Disagree","","-A lot of dois are broken in the references due to some formatting issus (for example \textunderscore instead of an actuall _ in https://doi.org/10.1007/978-3-030-05411-3\textunderscore 28 )

-It would be nice, if the dois are embedded and clickable links instead of plaintext.

-A pragraph mark after every entry would make the table much more readable.

-Tables with a lot of rows always have the problem the you can't see the column captions anymore after scrolling down to far. That makes them sometimes a bit cumbersome to use.  A nice way around this is to make the column captions detachable from the table, so they automatically stay on top of the screen.",""
"11","","2","en","1185037958","Male","20","Computer Science","No","Yes","No","No knowledge","Rosvall, M., Esquivel, A. V., Lancichinetti, A., West, J. D., & Lambiotte, R.","2014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","2","en","1066133551","Female","21","Computer Science","Yes","Yes","Yes","Basic knowledge","Rosvall, M., Esquivel, A. V., Lancichinetti, A., West, J. D., & Lambiotte, R.","2014","3","2","15","16","8","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","1980-01-01 00:00:00","6","en","588364511","Male","24","Computer Science","Yes","Yes","Yes","Basic knowledge","Rosvall, M., Esquivel, A. V., Lancichinetti, A., West, J. D., & Lambiotte, R.","2014","Very Low - 1","2","Very Low - 1","Very High - 21","Very Low - 1","Very Low - 1","https://doi.org/10.1371/journal.pone.0169355","5","Very Low - 1","Very Low - 1","17","3","3","(Cai et al., 2011)","(Jin et al., 2011)","Bergstrom, 2011)","(A. Tabrizi et al., 2013)","(Lambiotte et al., 2014)","(Rosvall et al., 2014)","(Gleich & Kloster, 2016)","(Keikha et al., 2018) ","(Palash Goyal, 2018)","(Tshimula et al., 2019)","(Sarantopoulos et al., 2019)","(Bai et al., 2019)","15","12","6","Very High - 21","12","6","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","the visualization is very straightforward, I only had problems ordering the papers by publication year, since they are not ordered in the cells","ordering the papers in the cell according to publication year or alphabetically (maybe a button for choosing the ordering criteria)","nice job :)"
"14","1980-01-01 00:00:00","6","en","736846690","Male","23","Computer Science","No","Yes","No","No knowledge","Rosvall, M., Esquivel, A. V., Lancichinetti, A., West, J. D., & Lambiotte, R.","2014","5","Very Low - 1","10","Very High - 21","2","Very Low - 1","https://doi.org/10.1371/journal.pone.0169355","5","Very Low - 1","10","Very High - 21","Very Low - 1","Very Low - 1","(Rosvall & Bergstrom, 2011)","(Jin et al., 2011)","(Cai et al.,2011)","(A. Tabrizi, 2013)","(Rosvall et al., 2014)","(Lambiotte et al., 2014)","(Gleich & Kloster, 2016)","(Palash Goyal, 2018)","(Keikha et al., 2018)","(Bai et al., 2019)","(Tshimula et al., 2019)","(Sarantopoulos et al., 2019)","10","10","3","8","15","8","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Cluttered bibliography list","Fixed title column and line, so that you also keep the overview when you scroll.
Each paper of a cell in a new line for better overview.

Better presentation of the bibliography list
Simple changes:
* Spacing between each reference
* Hyperlinks for urls
Other suggestions:
* Preview the source (author(s), year, title, ...) in the table when hovering the reference link
* Open the DOI url in an iframe so that the page does not have to be left.

Search and filter the table/references (by name, year, ...)",""
"15","1980-01-01 00:00:00","6","en","626526670","Male","24","Computer Science","Yes","Yes","Yes","No knowledge","Rosvall et al.,","2014","9","5","6","15","8","10","https://doi.org/10.1371/journal.pone.0169355","5","5","9","Very High - 21","13","3","(Rosvall et al., 2014)","(Palash Goyal, 2018)","(Bai et al., 2019)","","","","","","","","","","8","8","8","8","8","8","Agree","Neutral","Strongly Agree","Disagree","Agree","Disagree","Strongly Agree","Neutral","Strongly Agree","Disagree","","Responsiveness",""
"16","1980-01-01 00:00:00","6","en","186407337","Male","27","Computer Science","Yes","Yes","No","No knowledge","- Rosvall, Martin 
- Esquivel, Alcides V. 
- Lancichinetti, Andrea
- West, Jevin D., 
- Lambiotte, Renaud","2014","Very Low - 1","Very Low - 1","Very Low - 1","Very High - 21","Very Low - 1","Very Low - 1","doi.org/10.1371/journal.pone.0169355","Very Low - 1","Very Low - 1","Very Low - 1","Very High - 21","Very Low - 1","Very Low - 1","(Rosvall & Bergstrom, 2011)","(Jin et al., 2011)","(Cai et al., 2011)","(A. Tabrizi et al., 2013)","(Lambiotte et al., 2014)","(Rosvall et al., 2014)","(Gleich & Kloster, 2016) ","(Keikha et al., 2018)","(Palash Goyal, 2018)","(Sarantopoulos et al., 2019)","(Bai et al., 2019)","(Tshimula et al., 2019)","4","5","Very Low - 1","19","6","2","Neutral","Disagree","Agree","Strongly Disagree","Agree","Strongly Disagree","Agree","Disagree","Strongly Agree","Strongly Disagree","No, everything was fine.","It was good, simple and time efficient. So, I think the developer did a good job.
","Further background information on the applications of the table visualization would be helpful in order to better answer the question of whether we would like to use the table visualization frequently.
Or instead, questions based on specific applications and whether we would like to use the table visualization frequently in this context?

"
"17","1980-01-01 00:00:00","6","en","1373930888","Female","23","Computer Science","Yes","Yes","Yes","No knowledge","Rosvall et al.","2014","5","Very Low - 1","9","19","6","Very Low - 1","https://doi.org/10.1371/journal.pone.0169355","6","Very Low - 1","3","18","6","Very Low - 1","(Cai et al., 2011) ","(Jin et al., 2011)","(Rosvall & Bergstrom, 2011)","(A. Tabrizi et al., 2013)","(Lambiotte et al., 2014)","(Rosvall et al., 2014)","(Gleich & Kloster, 2016)","(Keikha et al., 2018)","(Palash Goyal, 2018)","(Bai et al., 2019)","(Sarantopoulos et al., 2019)","(Tshimula et al., 2019)","9","Very Low - 1","3","14","12","6","Disagree","Neutral","Agree","Strongly Disagree","Agree","Disagree","Agree","Neutral","Agree","Strongly Disagree","I could not find the month and day of publishing of the papers, thus, I was unable to correctly sort the papers in the third task. Also, I would have wished for names of the columns to follow when i scroll (as a fixed header), so that I always know what column to look at.","As said before, the top row of the table moves out of view when scrolling down. I would be nice if it would stay fixed at the top of the screen. Also, an improved and more polished look would help the table to look less as if just someone made him/herself a table for private use. I don't knwo how to express this better, but the table still looks very premature (of course this is just an ""apha"" version, just as a note for future improvements :) ).","-"
